날짜,시가,고가,저가,종가,"MA_종가,단순,5","MA_종가,단순,20","MA_종가,단순,60","MA_종가,단순,120","MA_종가,단순,240",프로그램순매수(종목),누적,
2023-04-28,590000 ,591000 ,573000 ,581000 ,570400 ,583350 ,558700 ,537588 ,492602 ,-42830 ,6458471 ,
2023-04-27,573000 ,588000 ,567000 ,587000 ,568600 ,583500 ,557900 ,537638 ,491798 ,80083 ,6501301 ,
2023-04-26,551000 ,572000 ,550000 ,567000 ,567200 ,583550 ,556817 ,537679 ,490983 ,-9224 ,6421218 ,
2023-04-25,570000 ,575000 ,548000 ,551000 ,570200 ,584350 ,556050 ,537863 ,490260 ,23086 ,6430442 ,
2023-04-24,566000 ,575000 ,563000 ,566000 ,578400 ,585650 ,555367 ,538013 ,489606 ,-10503 ,6407356 ,
2023-04-21,577000 ,578000 ,563000 ,572000 ,583400 ,586050 ,554367 ,537988 ,488921 ,-9615 ,6417859 ,
2023-04-20,582000 ,586000 ,575000 ,580000 ,587800 ,585900 ,553450 ,537621 ,488210 ,19671 ,6427474 ,
2023-04-19,593000 ,593000 ,581000 ,582000 ,591600 ,585650 ,551850 ,537221 ,487492 ,-94473 ,6407803 ,
2023-04-18,593000 ,598000 ,586000 ,592000 ,593200 ,585200 ,549975 ,536871 ,486769 ,26335 ,6502276 ,
2023-04-17,588000 ,593000 ,584000 ,591000 ,596800 ,582900 ,547708 ,536346 ,486040 ,-18797 ,6475941 ,
2023-04-14,603000 ,604000 ,586000 ,594000 ,597800 ,580550 ,545492 ,535679 ,485317 ,-66495 ,6494738 ,
2023-04-13,581000 ,599000 ,575000 ,599000 ,595000 ,578500 ,543225 ,534971 ,484583 ,36256 ,6561233 ,
2023-04-12,608000 ,610000 ,588000 ,590000 ,591200 ,577350 ,541250 ,534138 ,483852 ,-86566 ,6524977 ,
2023-04-11,600000 ,613000 ,596000 ,610000 ,590800 ,576100 ,539383 ,533346 ,483198 ,142257 ,6611543 ,
2023-04-10,587000 ,598000 ,584000 ,596000 ,583800 ,573000 ,537183 ,532408 ,482475 ,166876 ,6469286 ,
2023-04-07,581000 ,590000 ,579000 ,580000 ,581800 ,571350 ,535158 ,531517 ,481813 ,-50272 ,6302410 ,
2023-04-06,587000 ,590000 ,578000 ,580000 ,582600 ,569900 ,533383 ,530779 ,481215 ,-17356 ,6352682 ,
2023-04-05,575000 ,589000 ,574000 ,588000 ,584200 ,568350 ,531450 ,529971 ,480613 ,40961 ,6370038 ,
2023-04-04,586000 ,598000 ,572000 ,575000 ,583200 ,567050 ,529050 ,529046 ,479967 ,49060 ,6329077 ,
2023-04-03,588000 ,590000 ,577000 ,586000 ,583600 ,566600 ,526692 ,528279 ,479383 ,-36301 ,6280017 ,
2023-03-31,582000 ,590000 ,571000 ,584000 ,581200 ,564650 ,524308 ,527542 ,478779 ,-8006 ,6316318 ,
2023-03-30,587000 ,590000 ,576000 ,588000 ,578200 ,562350 ,521917 ,526696 ,478142 ,46385 ,6324324 ,
2023-03-29,578000 ,585000 ,577000 ,583000 ,575600 ,559700 ,519550 ,525779 ,477404 ,74138 ,6277939 ,
2023-03-28,578000 ,579000 ,566000 ,577000 ,573600 ,556700 ,517092 ,524829 ,476746 ,-3933 ,6203801 ,
2023-03-27,588000 ,594000 ,572000 ,574000 ,567400 ,553250 ,514750 ,523725 ,476173 ,28083 ,6207734 ,
2023-03-24,577000 ,578000 ,556000 ,569000 ,561400 ,550100 ,512800 ,522496 ,475600 ,-71939 ,6179651 ,
2023-03-23,568000 ,580000 ,566000 ,575000 ,558200 ,547000 ,510942 ,521421 ,475081 ,-5249 ,6251590 ,
2023-03-22,557000 ,577000 ,555000 ,573000 ,558400 ,543650 ,508950 ,520242 ,474556 ,89706 ,6256839 ,
2023-03-21,549000 ,559000 ,545000 ,546000 ,556800 ,541000 ,507258 ,519167 ,473996 ,18879 ,6167133 ,
2023-03-20,546000 ,551000 ,537000 ,544000 ,557200 ,539500 ,506108 ,518338 ,473504 ,14116 ,6148254 ,
2023-03-17,579000 ,579000 ,550000 ,553000 ,561000 ,538950 ,505167 ,517642 ,473079 ,-63564 ,6134138 ,
2023-03-16,561000 ,578000 ,558000 ,576000 ,560600 ,538750 ,503983 ,517104 ,472610 ,3077 ,6197702 ,
2023-03-15,551000 ,573000 ,549000 ,565000 ,555200 ,536300 ,502475 ,516300 ,472048 ,45920 ,6194625 ,
2023-03-14,560000 ,561000 ,545000 ,548000 ,554600 ,534300 ,501158 ,515621 ,471513 ,-3597 ,6148705 ,
2023-03-13,554000 ,565000 ,549000 ,563000 ,558200 ,533000 ,500333 ,515033 ,471058 ,37733 ,6152302 ,
2023-03-10,537000 ,553000 ,534000 ,551000 ,555000 ,531950 ,499225 ,514558 ,470413 ,37512 ,6114569 ,
2023-03-09,564000 ,569000 ,545000 ,549000 ,552400 ,531900 ,498408 ,514225 ,469813 ,-15943 ,6077057 ,
